date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:39	18120/18120	---M--	200	added ('OK')	application/font-woff	etag:%2261ad6c0c-46c8%22	https://restaurant-001.site0.wopop.com/public/fontico/iconfont.woff?t=1638516318203	D:/Clone%20web%20HTTrack/web-test/restaurant-001.site0.wopop.com/public/fontico/iconfonte822.woff	(from https://restaurant-001.site0.wopop.com/public/fontico/iconfont.css)
10:46:39	33200/33200	---M--	200	added ('OK')	application/octet-stream	etag:%2261ad6c0c-81b0%22	https://restaurant-001.site0.wopop.com/public/fontico/iconfont.ttf?t=1638516318203	D:/Clone%20web%20HTTrack/web-test/restaurant-001.site0.wopop.com/public/fontico/iconfonte822.ttf	(from https://restaurant-001.site0.wopop.com/public/fontico/iconfont.css)
10:46:39	268/268	---M--	200	added ('OK')	image/png	etag:%2260c2ed7e-10c%22	https://restaurant-001.site0.wopop.com/public/assets/selectArrowIcon.png	D:/Clone%20web%20HTTrack/web-test/restaurant-001.site0.wopop.com/public/assets/selectArrowIcon.png	(from https://restaurant-001.site0.wopop.com/css?cs=vstatic%2Fcss%2Fapp.css%2Cinner%2Fglobal.css)
10:46:40	921/921	---M--	200	added ('OK')	image/png	etag:%22627cd2ab-399%22	https://restaurant-001.site0.wopop.com/public/assets/wopop_bottom_bg.png	D:/Clone%20web%20HTTrack/web-test/restaurant-001.site0.wopop.com/public/assets/wopop_bottom_bg.png	(from https://restaurant-001.site0.wopop.com/css?cs=vstatic%2Fcss%2Fapp.css%2Cinner%2Fglobal.css)
10:46:40	32/32	---M--	200	added ('OK')	text/plain	date:Tue,%2008%20Dec%202015%2008:38:07%20GMT	https://static.eznetonline.com/robots.txt		(from https://restaurant-001.site0.wopop.com/)
10:46:41	885/885	---MCZ	403	error ('Forbidden')	text/html	etag:W/%2259cb167a-375%22	https://restaurant-001.site0.wopop.com/public/	D:/Clone%20web%20HTTrack/web-test/restaurant-001.site0.wopop.com/public/index.html	(from https://static.eznetonline.com/webquick/public/vstatic/js/manifest.js?v=1653973802)
10:46:41	885/885	---MCZ	403	error ('Forbidden')	text/html	etag:W/%2259cb167a-375%22	https://restaurant-001.site0.wopop.com/edge/	D:/Clone%20web%20HTTrack/web-test/restaurant-001.site0.wopop.com/edge/index.html	(from https://static.eznetonline.com/webquick/public/??vue.min.js,jq/core.js?v=16233874)
10:46:41	885/885	---MCZ	403	error ('Forbidden')	text/html	etag:W/%2259cb167a-375%22	https://restaurant-001.site0.wopop.com/index.php	D:/Clone%20web%20HTTrack/web-test/restaurant-001.site0.wopop.com/index.14.delayed	(from https://static.eznetonline.com/webquick/public/vstatic/js/app.js?v=1653973802)
10:46:41	0/0	---MC-	200	added ('OK')	text/plain	date:Fri,%2003%20Jun%202022%2002:46:41%20GMT	https://restaurant-001.site0.wopop.com/span.txt	D:/Clone%20web%20HTTrack/web-test/restaurant-001.site0.wopop.com/span.txt	(from https://static.eznetonline.com/webquick/public/vstatic/js/app.js?v=1653973802)
10:46:41	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jun%202022%2002:46:41%20GMT	https://restaurant-001.site0.wopop.com/Popover%20requires%20tooltip.js	D:/Clone%20web%20HTTrack/web-test/restaurant-001.site0.wopop.com/Popover%20requires%20tooltip.js	(from https://static.eznetonline.com/webquick/public/bootstrap/index.js)
